Date,Port,Transect,Serial,Depth_m,Temp_C,Cond_uS_cm,Oxy_mg_L,pH,Turbidity_NTU,Fluor_relative,CDOM_mg_3,PAR_uEinsteins_m2
4-Jul-21,228,stj17,162,1,19.757,272.807,7.367,8.698,0.775,0.28,2.788,1267.686
4-Jul-21,228,stj17,162,2,19.65,270.731,7.746,8.701,0.776,0.274,3.213,1090.598
4-Jul-21,228,stj17,162,3,19.411,269.267,7.955,8.702,0.789,0.326,3.397,950.272
4-Jul-21,228,stj17,162,4,19.372,268.989,8.137,8.701,0.754,0.325,3.693,748.22
4-Jul-21,228,stj17,162,5,19.352,268.52,8.511,8.701,0.806,0.383,3.666,627.258
4-Jul-21,228,stj17,162,6,19.025,266.29,8.789,8.706,0.822,0.435,3.444,524.566
4-Jul-21,228,stj17,162,7,18.843,265.616,8.888,8.706,0.843,0.504,3.575,454.512
4-Jul-21,228,stj17,162,8,18.789,265.243,8.866,8.708,0.849,0.579,3.539,366.506
4-Jul-21,228,stj17,162,9,18.642,263.923,8.921,8.706,0.849,0.698,3.286,306.83
4-Jul-21,228,stj17,162,10,18.061,259.198,9.019,8.708,0.87,0.735,3.476,257.105
4-Jul-21,228,stj17,162,11,17.344,255.854,9.157,8.709,0.827,0.734,3.65,216.708
4-Jul-21,228,stj17,162,12,17.02,254.416,9.233,8.706,0.815,0.798,3.535,182.203
4-Jul-21,228,stj17,162,13,16.907,253.887,9.289,8.701,0.822,0.876,3.476,156.08
4-Jul-21,228,stj17,162,14,16.849,253.302,9.324,8.698,0.838,0.898,3.381,128.438
4-Jul-21,228,stj17,162,15,16.812,253.049,9.368,8.694,0.836,0.895,3.318,109.17
4-Jul-21,228,stj17,162,16,16.788,252.816,9.414,8.69,0.822,0.928,3.365,92.918
4-Jul-21,228,stj17,162,17,16.559,250.728,9.447,8.689,0.822,0.905,3.35,75.996
4-Jul-21,228,stj17,162,18,16.063,247.994,9.587,8.693,0.767,0.872,3.397,64.967
4-Jul-21,228,stj17,162,19,15.558,244.81,9.659,8.696,0.658,0.834,3.539,55.558
4-Jul-21,228,stj17,162,20,14.954,241.623,9.814,8.705,0.575,0.766,3.539,47.668
4-Jul-21,228,stj17,162,21,14.263,237.83,9.971,8.716,0.534,0.764,3.436,42.026
4-Jul-21,228,stj17,162,22,13.155,231.39,10.235,8.74,0.504,0.812,3.397,37.105
4-Jul-21,228,stj17,162,23,11.664,224.617,10.589,8.771,0.471,0.955,3.587,31.88
4-Jul-21,228,stj17,162,24,10.697,221.018,10.931,8.79,0.422,1.069,3.713,27.475
