TRANSECT,Group,Species,DEPTH_CLASS,Epi_Density_m3,DeepTow_Density_m3,Hypo_Density_m3,Total_Density_m3,Latitude,Longitude
EAS5,Cladoceran,Bosmina longirostris,S,23.84507447,39.48204052,32.73343453,63.32711499,44.4851667,-86.31265
EAS5,Cladoceran,Daphnia galeata mendotae,S,2.329691184,157.876212,157.2168654,160.2059032,44.4851667,-86.31265
EAS5,ImmatureCyclopoid,Cyclops copepodites,S,34.53424578,5288.515427,5278.741584,5323.049673,44.4851667,-86.31265
EAS5,ImmatureCalanoid,Calanoid copepodites,S,174.7268388,3709.857207,3660.406215,3884.584046,44.4851667,-86.31265
EAS5,ImmatureCalanoid,Epischura copepodites,S,17.81528552,NA,NA,17.81528552,44.4851667,-86.31265
EAS5,AdultCyclopoid,Diacyclops thomasi,S,2.329691184,1578.65822,1577.998873,1580.987911,44.4851667,-86.31265
EAS5,AdultCyclopoid,Diacyclops thomasi,S,2.329691184,1578.65822,1577.998873,1580.987911,44.4851667,-86.31265
EAS5,AdultCalanoid,Leptodiaptomus minutus,S,8.35948013,39.48204052,37.11614991,47.84152065,44.4851667,-86.31265
EAS5,AdultCalanoid,Leptodiaptomus minutus,S,8.35948013,39.48204052,37.11614991,47.84152065,44.4851667,-86.31265
EAS5,AdultCalanoid,Leptodiaptomus sicilis,S,1.233365921,39.48204052,39.13297469,40.71540644,44.4851667,-86.31265
EAS5,Rotifera,Collotheca spp.,S,112.2362988,434.1465955,402.3816053,546.3828943,44.4851667,-86.31265
EAS5,Rotifera,Conochilus unicornis,S,2738.620507,1085.340514,310.2592382,3823.961021,44.4851667,-86.31265
EAS5,Rotifera,Gastropus spp.,S,134.7109667,730.1060492,691.9803039,864.8170159,44.4851667,-86.31265
EAS5,Rotifera,Kellicottia longispina,S,112.2362988,769.5880897,737.8230995,881.8243885,44.4851667,-86.31265
EAS5,Rotifera,Keratella spp.,S,493.894531,414.4055753,274.6241042,908.3001062,44.4851667,-86.31265
EAS5,Rotifera,Ploesoma truncatum,S,179.5232618,78.91213098,28.10366065,258.4353928,44.4851667,-86.31265
EAS5,Rotifera,Polyarthra spp.,S,2356.962275,710.416979,43.35218429,3067.379254,44.4851667,-86.31265
EAS5,Rotifera,Synchaeta spp.,S,336.7088964,118.3941715,23.09920082,455.1030679,44.4851667,-86.31265
EAS5,Nauplii,Copepod nauplii,S,785.6540916,4104.521762,3882.16683,4890.175854,44.4851667,-86.31265
EAS5,Mollusks,Dreissenid Veligers,S,1189.786992,236.788343,236.788343,1426.575335,44.4851667,-86.31265
EAS5,Cladoceran,Bythotrephes longimanus,D,NA,0.15585016,NA,0.15585016,44.4851667,-86.31265
EAS5,Cladoceran,Bosmina longirostris,D,23.84507447,39.48204052,32.73343453,63.32711499,44.4851667,-86.31265
EAS5,Cladoceran,Daphnia galeata mendotae,D,2.329691184,157.876212,157.2168654,160.2059032,44.4851667,-86.31265
