Row,YEAR,MONTH,SEASON,LAKE,CRUISE_ID,VISIT_ID,STATION_ID,STN_DEPTH_M,LATITUDE,LONGITUDE,SAMPLING_DATE,TIME_ZONE,SAMPLE_DEPTH_M,DEPTH_CODE,MEDIUM,SAMPLE_TYPE,QC_TYPE,SAMPLE_ID,ANL_CODE_1,ANALYTE_1,VALUE_1,UNITS_1,FRACTION_1,METHOD_1,RESULT_REMARK_1,ANL_CODE_2,ANALYTE_2,VALUE_2,UNITS_2,FRACTION_2,METHOD_2,RESULT_REMARK_2,ANL_CODE_3,ANALYTE_3,VALUE_3,UNITS_3,FRACTION_3,METHOD_3,RESULT_REMARK_3,ANL_CODE_4,ANALYTE_4,VALUE_4,UNITS_4,FRACTION_4,METHOD_4,RESULT_REMARK_4,ANL_CODE_5,ANALYTE_5,VALUE_5,UNITS_5,FRACTION_5,METHOD_5,RESULT_REMARK_5,
"1","2023","April    ","Spring","Erie","ER2311","E15MA23","ER15M","63.8000","42.515967","-79.893550","2023/04/16 10:48","GMT","10.0000","Ten Meter","surface water","Individual QC","field duplicate","23GE00D03","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","93.8","mg/l","Total/Bulk","LG500","","Cond","Conductivity","276.1","umho/cm","Total/Bulk","LG500","","pH","pH","8.04","none","Total/Bulk","LG500","","Turb","Turbidity","3.45","NTU","Total/Bulk","LG500","","","","","","","","",
"2","2023","April    ","Spring","Erie","ER2311","E15MA23","ER15M","63.8000","42.515967","-79.893550","2023/04/16 10:48","GMT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","23GE00I12","Temp","Temperature","3.13","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"3","2023","April    ","Spring","Erie","ER2311","E063A23","ER63","43.6000","42.413000","-79.797000","2023/04/16 13:10","GMT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","23GE00I32","Temp","Temperature","3.40","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"4","2023","April    ","Spring","Erie","ER2311","E009A23","ER09","49.4000","42.538050","-79.617233","2023/04/16 15:06","GMT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","23GE00I52","Temp","Temperature","3.35","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"5","2023","April    ","Spring","Erie","ER2311","E010A23","ER10","32.5000","42.679883","-79.691217","2023/04/16 16:21","GMT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","23GE00I72","Temp","Temperature","3.91","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"6","2023","April    ","Spring","Erie","ER2311","E042A23","ER42","21.0000","41.965000","-82.040000","2023/04/15 09:48","GMT","","Integrated, Spring","surface water","INSITU_MEAS","routine field sample","23GE00I92","Temp","Temperature","4.74","C","Not applicable","NA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"7","2023","April    ","Spring","Erie","ER2311","E063A23","ER63","43.6000","42.413000","-79.797000","2023/04/16 13:10","GMT","","Synthetic Sample","surface water","Individual QC","field blank","23GE00R20","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","1.1","mg/l","Total/Bulk","LG500","","Cond","Conductivity","1.04","umho/cm","Total/Bulk","LG500","","pH","pH","6.06","none","Total/Bulk","LG500","","Turb","Turbidity","0.121","NTU","Total/Bulk","LG500","","","","","","","","",
"8","2023","April    ","Spring","Erie","ER2311","E15MA23","ER15M","63.8000","42.515967","-79.893550","2023/04/16 10:48","GMT","2.0000","Surface","surface water","INSITU_MEAS","routine field sample","23GE00S01","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","94.8","mg/l","Total/Bulk","LG500","","Cond","Conductivity","276.2","umho/cm","Total/Bulk","LG500","","pH","pH","8","none","Total/Bulk","LG500","","Temp","Temperature","3.12","C","Not applicable","NA","","Turb","Turbidity","4.99","NTU","Total/Bulk","LG500","",
"9","2023","April    ","Spring","Erie","ER2311","E15MA23","ER15M","63.8000","42.515967","-79.893550","2023/04/16 10:48","GMT","5.0000","Five Meter","surface water","INSITU_MEAS","routine field sample","23GE00S02","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","94.4","mg/l","Total/Bulk","LG500","","Cond","Conductivity","276","umho/cm","Total/Bulk","LG500","","pH","pH","7.98","none","Total/Bulk","LG500","","Temp","Temperature","3.13","C","Not applicable","NA","","Turb","Turbidity","3.37","NTU","Total/Bulk","LG500","",
"10","2023","April    ","Spring","Erie","ER2311","E15MA23","ER15M","63.8000","42.515967","-79.893550","2023/04/16 10:48","GMT","10.0000","Ten Meter","surface water","INSITU_MEAS","routine field sample","23GE00S03","Alk-tot as CaCO3","Alkalinity, Total as CaCO3","93.6","mg/l","Total/Bulk","LG500","","Cond","Conductivity","276.7","umho/cm","Total/Bulk","LG500","","pH","pH","7.99","none","Total/Bulk","LG500","","Temp","Temperature","3.13","C","Not applicable","NA","","Turb","Turbidity","3.72","NTU","Total/Bulk","LG500","",
