UniqueIdentifier,Name,CASNumber,SRSID,SampleFractionRequired,AnalyticalMethodRequired,MethodSpeciationRequired,PickList,GroupName,DomainValueStatus,Description,ComparableName,LastChangeDate
3389,% undercut bank,,,N,N,N,N,Information,Accepted,; Request Date: 08-JUN-10,,2021-10-07T06:23:31-04:00
64346,"(((4-((1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9-Heptadecafluorononyl)oxy)phenyl)sulfonyl)(methyl)amino)acetic acid",,1991472,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
64365,"(((4-((1,1,2,2,3,4,5,5,6,6,7,7,8,8,9,9,9-Heptadecafluoro-3-nonen-1-yl)oxy)phenyl)sulfonyl)(methyl)amino)acetic acid",,1991473,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
26102,"((2,2,3,3-Tetrafluoropropoxy)methyl)oxirane",19932-26-4,1842181,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-12-14T12:00:00-05:00
19930,((Perfluoro-11-methyldodecyl)ethyl) dihydrogen phosphate,94200-57-4,1842153,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:40-04:00
19982,((Perfluoro-13-methyltetradecyl)ethyl) acrylate,91615-22-4,1842158,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:41-04:00
19648,((Perfluoro-13-methyltetradecyl)ethyl) methacrylate,94158-64-2,1842159,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:40-04:00
19875,((Perfluoro-9-methyldecyl)methyl)oxirane,47795-34-6,1842148,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:40-04:00
20297,((Perfluorobutyl)ethyl)trimethoxysilane,85877-79-8,1842188,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:42-04:00
16378,((Perfluorodecyl)methyl)oxirane,38565-54-7,1842522,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:28-04:00
16306,((Perfluorododecyl)methyl)oxirane,94158-66-4,1842520,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:28-04:00
16342,((Perfluorohexadecyl)methyl)oxirane,94158-68-6,1842517,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:28-04:00
16946,((Perfluorohexyl)ethyl)-2-chloropropenoate,96383-55-0,1842539,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:30-04:00
20656,((Perfluorooctyl)-2-hydroxypropyl)trimethylammonium iodide,92071-84-6,1842327,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:43-04:00
21681,((Perfluorooctyl)ethyl)di(propan-2-yl)silane,356056-15-0,1842377,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:46-04:00
17674,((Perfluorooctyl)ethyl)phosphonic acid,80220-63-9,1842630,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:32-04:00
19983,((Perfluorooctyl)ethyl)silanetriol,115781-18-5,1849951,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:41-04:00
16330,((Perfluorotetradecyl)methyl)oxirane,94158-67-5,1842518,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:28-04:00
63153,"(+)-(5Z,7E)-26,26,26,27,27,27-Hexafluoro-9,10-secocholesta-5,7,10(19)-triene-1.alpha.,3.beta.,25-triol",83805-11-2,1989652,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
16298,(+)-Ibuprofen-d3,,,N,N,N,N,Not Assigned,Accepted,NWIS,,2021-10-01T12:00:00-04:00
16297,(+)-Ibuprofen-d3 (alpha-methyl-d3),,,N,N,N,N,Not Assigned,Accepted,NWIS,,2021-10-01T12:00:00-04:00
16296,(+)-Norpropoxyphene,,,N,N,N,N,Not Assigned,Accepted,NWIS,,2021-10-01T12:00:00-04:00
62758,(+)-Perfluoro(2-propoxypropionic) acid,75579-39-4,1989587,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
2519,(+)-cis-Permethrin,54774-45-7,17164278,Y,Y,N,N,"Organics, Pesticide",Accepted,Nemi.gov; Request Date: 02-MAR-07,,2007-03-02T08:39:31-05:00
3823,(+/-)11-nor-9-carboxy-delta-THC,64280-14-4,1736806,N,N,N,N,"Organics, Other",Accepted,; Request Date: 03-DEC-12,,2012-12-03T03:47:12-05:00
32443,(-)-.beta.-Pinene,18172-67-3,210989,N,N,N,N,"Organics, Other",Accepted,,,2022-02-04T01:55:38-05:00
20862,(-)-1-Perfluoropropylethanol,85571-83-1,1842310,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:44-04:00
63066,(-)-Perfluoro(2-propoxypropionic) acid,75579-40-7,1989588,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
1,(-)-cis-Permethrin,54774-46-8,963314,Y,Y,N,N,"Organics, Pesticide",Accepted,; Request Date: 02-MAR-07,,2007-03-02T08:39:31-05:00
16299,(-)-trans-4-(4-Fluorophenyl)-3-(4-hydroxy-3-methoxyphenoxymethyl)piperidine,,,N,N,N,N,Not Assigned,Accepted,NWIS,,2021-10-01T12:00:00-04:00
2,(-)-trans-Permethrin,54774-47-9,963322,Y,N,N,N,"Organics, Pesticide",Accepted,; Request Date: 02-MAR-07,,2007-03-02T08:39:31-05:00
20768,"(.alpha.R,7.alpha.)-3-Hydroxy-.alpha.-((perfluorobutyl)propyl)-17-oxo-estra-1,3,5(10)-triene-7-decanoic acid",615563-01-4,1842296,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:43-04:00
64361,"(1,1,1,2,2-pentafluoro-4-methylheptan-4-yl) phosphate",,1991474,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
21220,"(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)(phenyl)iodanium trifluoromethanesulfonate",82959-18-0,1842341,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:44-04:00
22516,"(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)benzene",378-34-7,1842486,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:48-04:00
20820,"(1,1,1,2,3,3,4,5,5,5-Decafluoropentan-2-yl)benzene",89185-51-3,1974072,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:44-04:00
18821,"(1,1,1,2,3,3-Hexafluoropropan-2-yl)(trimethyl)silane",62281-35-0,1973466,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:37-04:00
22833,"(1,1,1,5,5,6,6,7,7,7-Decafluorohept-3-yn-2-ylidene)cyclopentane",139226-05-4,1842475,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2020-06-19T02:02:49-04:00
64378,"(1,1,2,2,3,3,3-Heptafluoropropoxy)(prop-1-en-1-yl)silane",,1991475,N,N,N,N,"PFAS,Perfluorinated Alkyl Substance",Accepted,,,2022-05-17T12:00:00-04:00
