Domain,Unique Identifier,Name,Description,Last Change Date
Horizontal Collection Method(HorizontalCollectionMethodName),2,Address Matching-Block Face,The geographic coordinate determination method based on address matching-block face,8/12/2006 12:29:23 AM
Horizontal Collection Method(HorizontalCollectionMethodName),6,Address Matching-Digitized,The geographic coordinate determination method based on address matching-digitized,8/12/2006 12:29:23 AM
Horizontal Collection Method(HorizontalCollectionMethodName),1,Address Matching-House Number,The geographic coordinate determination method based on address matching-house number,8/12/2006 12:29:23 AM
Horizontal Collection Method(HorizontalCollectionMethodName),4,Address Matching-Nearest Intersection,The geographic coordinate determination method based on address matching-nearest intersection,8/12/2006 12:29:23 AM
Horizontal Collection Method(HorizontalCollectionMethodName),7,Address Matching-Other,The geographic coordinate determination method based on address matching-other,8/12/2006 12:29:23 AM
Horizontal Collection Method(HorizontalCollectionMethodName),5,Address Matching-Primary Name,The geographic coordinate determination method based on address matching-primary name,8/12/2006 12:29:23 AM
Horizontal Collection Method(HorizontalCollectionMethodName),3,Address Matching-Street Centerline,The geographic coordinate determination method based on address matching-street centerline,8/12/2006 12:29:23 AM
Horizontal Collection Method(HorizontalCollectionMethodName),8,Census Block-1990-Centroid,The geographic coordinate determination method based on census block-1990-centroid,8/12/2006 12:29:23 AM
Horizontal Collection Method(HorizontalCollectionMethodName),9,Census Block/Group-1990-Centroid,The geographic coordinate determination method based on census/group-1990-centroid,8/12/2006 12:29:23 AM
Horizontal Collection Method(HorizontalCollectionMethodName),10,Census Block/Tract-1990-Centroid,The geographic coordinate determination method based on census/tract-1990-centroid,8/12/2006 12:29:23 AM
Horizontal Collection Method(HorizontalCollectionMethodName),11,Census-Other,The geographic coordinate determination method based on census-other,8/12/2006 12:29:23 AM
Horizontal Collection Method(HorizontalCollectionMethodName),25,Classical Surveying Techniques,The geographic coordinate determination method based on classical surveying techniques,8/12/2006 12:29:23 AM
Horizontal Collection Method(HorizontalCollectionMethodName),13,GPS Carrier Phase Kinematic Relative Position,The geographic coordinate determination method based on GPS carrier phase kinematic relative positioning technique,8/12/2006 12:29:23 AM
