Domain,Unique Identifier,Name,Description,Last Change Date
Sample Fraction(ResultSampleFractionText),10,Acid Soluble,That portion of the analyte which becomes dissolved within the sample following treatment with an appropriate acid.,7/26/2006 10:57:48 AM
Sample Fraction(ResultSampleFractionText),26,Bed Sediment,The layers of sedimentary rocks that are distinctly different from overlying and underlying subsequent beds of different sedimentary rocks. ,9/10/2014 12:00:00 AM
Sample Fraction(ResultSampleFractionText),27,Bedload,Particles in a flowing fluid (usually water) that are transported along the bed.,9/10/2014 12:00:00 AM
Sample Fraction(ResultSampleFractionText),19,Bioavailable,The extent to which a substance is / becomes available or absorbed by a specific tissue or organ.,3/5/2010 10:57:48 AM
Sample Fraction(ResultSampleFractionText),15,Comb Available,The Concentration of a analyte or other analyte derivatives in a water which is combined with other derivatives yet is still available to oxidize organic matter.,10/15/2012 10:57:48 AM
Sample Fraction(ResultSampleFractionText),2,Dissolved,That portion of the analyte found in the liquid medium.  Cannot be removed by filtration.,7/26/2006 10:57:48 AM
Sample Fraction(ResultSampleFractionText),22,Extractable,An analyte that can be removed from a mixture using a specific method or technique,12/20/2010 10:24:41 AM
Sample Fraction(ResultSampleFractionText),179,"Extractable, CaCO3-bound",Part of a sequential extraction protocol. Pertains to analytes that are assumed to be co-precipitated with carbonate minerals (also known as the acid-soluble fraction).,11/30/2023 11:03:00 AM
Sample Fraction(ResultSampleFractionText),180,"Extractable, exchangeable","Part of a sequential extraction protocol. Pertains to species that are weakly sorbed on sediment surfaces by relatively weak electrostatic interactions, or that are released by ion-exchange processes.",11/30/2023 11:03:00 AM
Sample Fraction(ResultSampleFractionText),177,"Extractable, organic-bnd",Part of a sequential extraction protocol. Pertains to constituents that are bound to or form complexes with organic matter (also known as the oxidizable fraction).,11/30/2023 11:03:00 AM
Sample Fraction(ResultSampleFractionText),175,"Extractable, other",Part of a sequential extraction protocol. Pertains to analytes that are extracted using extraction methods not listed other sequential extraction sample fraction terms.,11/30/2023 11:02:59 AM
Sample Fraction(ResultSampleFractionText),178,"Extractable, oxide-bound",Part of a sequential extraction protocol. Pertains to analytes that are assumed to be associated with iron and manganese oxides (also known as the reducible fraction).,11/30/2023 11:03:00 AM
Sample Fraction(ResultSampleFractionText),176,"Extractable, residual",Part of a sequential extraction protocol. Pertains to analytes present in the crystal lattice of minerals that are dissolved by strong acids.,11/30/2023 11:03:00 AM
Sample Fraction(ResultSampleFractionText),115,Field,Performed in field.,6/10/2019 9:31:37 AM
Sample Fraction(ResultSampleFractionText),6,Filterable,That portion of the analyte which is in or absorbed to material which passes through the filter during sample filtration.,4/30/2012 10:57:48 AM
Sample Fraction(ResultSampleFractionText),35,Filtered field and/or lab,"Filtering may have been performed in the field, lab, or both. Pertains to constituents in a sample passed through a membrane or fibrous filter.",4/10/2023 3:22:51 PM
Sample Fraction(ResultSampleFractionText),28,"Filtered, field",Performed in the field. Pertains to constituents in a sample passed through a membrane or fibrous filter.,4/4/2023 8:23:30 AM
Sample Fraction(ResultSampleFractionText),30,"Filtered, lab",Performed in the lab. Pertains to constituents in a sample passed through a membrane or fibrous filter.,4/4/2023 8:23:30 AM
Sample Fraction(ResultSampleFractionText),13,Fixed,That portion of the analyte found in the liquid layer above a precipitate produced from the sample.,7/26/2006 10:57:48 AM
Sample Fraction(ResultSampleFractionText),17,Free Available,"The concentration of residual substance present as dissolved gas, and not combined with any substance or in other less readily available form.",10/15/2012 10:57:48 AM
Sample Fraction(ResultSampleFractionText),21,Inorganic,Inorganic content of sample,11/29/2010 5:46:39 PM
Sample Fraction(ResultSampleFractionText),135,Leachable,An analyte capable of being removed from a substance by a percolating liquid.,7/22/2019 3:41:42 PM
Sample Fraction(ResultSampleFractionText),7,Non-Filterable (Particle),That portion of the analyte which is extracted from the SAMPLE medium by filtration.,4/3/2023 7:03:52 PM
Sample Fraction(ResultSampleFractionText),5,Non-settleable,That portion of the analyte which is in or absorbed to particles remaining in suspension in the sample container after a settling process.,7/26/2006 10:57:48 AM
Sample Fraction(ResultSampleFractionText),9,Non-volatile,That portion of the analyte which is in a liquid or solid state under normal temperature and pressure.,7/26/2006 10:57:48 AM
Sample Fraction(ResultSampleFractionText),31,None,None or Not Applicable,3/8/2016 9:30:08 AM
Sample Fraction(ResultSampleFractionText),20,Organic,Organic content of a sample,12/30/2010 10:25:50 AM
Sample Fraction(ResultSampleFractionText),18,Pot. Dissolved,Potentially Dissolved is the portion of a constituent measured from the filtrate of a water and suspended sediment sample that was treated with nitric acid prior to sample filtration.,10/15/2012 10:57:48 AM
Sample Fraction(ResultSampleFractionText),32,Semivolatile,The portion of the analyte which semi-easily enter the air as gases from some solids or liquids.,3/8/2016 3:05:39 PM
Sample Fraction(ResultSampleFractionText),4,Settleable,That portion of the analyte which is found in or absorbed to that part of the sample which has settled (fallen out of suspension) to the bottom of the sample container.,7/26/2006 10:57:48 AM
Sample Fraction(ResultSampleFractionText),34,Sieved,Pertains to constituents in a sample passed through a mesh sieve.,4/3/2023 7:22:04 PM
Sample Fraction(ResultSampleFractionText),24,Strong Acid Diss,"Strong Acid Dissociable, analyte that is released from analyte containing compounds under highly acidic conditions.",10/15/2012 3:00:00 PM
Sample Fraction(ResultSampleFractionText),12,Supernate,That portion of the analyte found in the liquid layer above a precipitate produced from the sample.,7/26/2006 10:57:48 AM
Sample Fraction(ResultSampleFractionText),3,Suspended,"That portion of the analyte which is suspended in the sampled medium, either as, or adsorbed to, particles which are more or less uniformly dispersed within the medium.",7/26/2006 10:57:48 AM
