CharacteristicName,source_parameter
Alkalinity,Alkalinity
Alkalinity,"Alkalinity, Bicarbonate as CaCO3"
Alkalinity,"Alkalinity, Carbonate as CaCO3"
Alkalinity,"Alkalinity, carbonate"
Alkalinity,"Alkalinity, total"
Alkalinity,"Alkalinity, Total as CaCO3_Not applicable"
Alkalinity,"Alkalinity, Total as CaCO3_Total/Bulk"
Alkalinity,"Hardness, Total as CaCO3_Total/Bulk"
"Aluminum, dissolved",Aluminum
"Aluminum, total",Aluminum
"Arsenic, dissolved",Arsenate
"Arsenic, dissolved",Arsenic
"Arsenic, dissolved",Arsenite
"Arsenic, total",Arsenic
"Arsenic, total","Arsenic_Total/Bulk"
"Atrazine, dissolved",Atrazine
"Calcium, dissolved",Calcium
"Calcium, dissolved","Calcium_Filtrate"
"Calcium, dissolved","Calcium_Total/Bulk"
"Carbon, dissolved organic",Carbon
"Carbon, dissolved organic","Carbon, Organic_Filtrate"
"Carbon, particulate organic","Carbon, Organic_Residue"
"Carbon, dissolved organic",Organic carbon
"Carbon, total organic","Carbon, Organic_Total/Bulk"
"Carbon, total organic",Carbon
"Carbon, total organic",Organic carbon
"Carbon, total organic",Total carbon
"Chloride, dissolved",Chloride
"Chloride, dissolved",Chloride_Filtrate
"Chloride, dissolved","Chloride_Total/Bulk"
Chlorophyll a,Chlorophyll a - Phytoplankton (suspended)
Chlorophyll a,Chlorophyll a
Chlorophyll a,"Chlorophyll a, corrected for pheophytin"
Chlorophyll a,"Chlorophyll a, free of pheophytin"
Chlorophyll a,"Chlorophyll a, uncorrected for pheophytin"
Chlorophyll a,Chlorophyll
Chlorophyll a,"Chlorophyll-a_NA"
Chlorophyll a,"Chlorophyll-a_Residue"
Chlorophyll a,"Chlorophyll-a_Total/Bulk"
"Color, apparent",Apparent color
"Color, apparent",Color
"Color, true",True color
Conductivity,Conductivity
Conductivity,Conductivity_Not applicable
Conductivity,"Conductivity_Total/Bulk"
Conductivity,Specific conductance
Depth,Depth of water column
Depth,Depth
Depth,"Depth, bottom"
Depth,"Depth, data-logger (non-ported)"
Depth,"Depth, data-logger (ported)"
"Phosphorus, soluable reactive orthophosphate",Orthophosphate as P
"Phosphorus, soluable reactive orthophosphate",Orthophosphate as PO4
"Phosphorus, soluable reactive orthophosphate",Orthophosphate
"Phosphorus, soluable reactive orthophosphate",Phosphate-phosphorus as P
"Phosphorus, soluable reactive orthophosphate",Phosphate-phosphorus
"Phosphorus, soluable reactive orthophosphate",Phosphorus
"Nitrogen, total dissolved Kjeldahl",Kjeldahl nitrogen
E. coli,Escherichia coli
E. coli,Escherichia
E. coli-CFU,Escherichia coli
E. coli-CFU,Escherichia
E. coli-MPN,Escherichia coli
E. coli-MPN,Escherichia
"Magnesium, dissolved",Magnesium
"Magnesium, dissolved",Magnesium_Filtrate
