cnvFiles,siteID,sampleDateTime,SITE_ID,stationDepth,Latitude,Longitude
2007 ctd data/079-07/Laurent raw/Omega0792007.CNV,omega,2007-03-20T00:00:00Z,omega,110,43.19983333,86.56983333
2007 ctd data/086-07/Laurent raw/Beta0862007.CNV,beta,2007-03-27T00:00:00Z,beta,45,43.20616667,86.44966667
2007 ctd data/086-07/Laurent raw/Omega0862007.CNV,omega,2007-03-27T00:00:00Z,omega,110,43.19983333,86.56983333
2007 ctd data/099-07/Laurent raw/Alpha0992007.CNV,alpha,2007-04-09T00:00:00Z,alpha,17,43.18816667,86.344
2007 ctd data/099-07/Laurent raw/Beta0992007.CNV,beta,2007-04-09T00:00:00Z,beta,45,43.20616667,86.44966667
2007 ctd data/099-07/Laurent raw/Omega0992007.CNV,omega,2007-04-09T00:00:00Z,omega,110,43.19983333,86.56983333
2007 ctd data/130-07/758 raw/Alpha130-07.bin.cnv,alpha,2007-05-10T00:00:00Z,alpha,17,43.18816667,86.344
2007 ctd data/130-07/758 raw/Beta130-07.bin.cnv,beta,2007-05-10T00:00:00Z,beta,45,43.20616667,86.44966667
2007 ctd data/130-07/758 raw/Omega130-07.bin.cnv,omega,2007-05-10T00:00:00Z,omega,110,43.19983333,86.56983333
2007 ctd data/142-07/1635 raw/Alpha142-07.bin.cnv,alpha,2007-05-22T00:00:00Z,alpha,17,43.18816667,86.344
2007 ctd data/142-07/1635 raw/Beta142-07.bin.cnv,beta,2007-05-22T00:00:00Z,beta,45,43.20616667,86.44966667
2007 ctd data/142-07/1635 raw/Omega142-07.bin.cnv,omega,2007-05-22T00:00:00Z,omega,110,43.19983333,86.56983333
2007 ctd data/156-07/758 raw/alpha156-07.bin.cnv,alpha,2007-06-05T00:00:00Z,alpha,17,43.18816667,86.344
2007 ctd data/156-07/758 raw/Beta156-07.bin.cnv,beta,2007-06-05T00:00:00Z,beta,45,43.20616667,86.44966667
2007 ctd data/160-07/758 raw/Omega160-07.bin.cnv,omega,2007-06-09T00:00:00Z,omega,110,43.19983333,86.56983333
2007 ctd data/176-07/Laurent raw/Alpha1762007.CNV,alpha,2007-06-25T00:00:00Z,alpha,17,43.18816667,86.344
2007 ctd data/176-07/Laurent raw/Beta1762007.CNV,beta,2007-06-25T00:00:00Z,beta,45,43.20616667,86.44966667
2007 ctd data/176-07/Laurent raw/Omega1762007.CNV,omega,2007-06-25T00:00:00Z,omega,110,43.19983333,86.56983333
2007 ctd data/184-07/758 raw/alpha184-07.bin.cnv,alpha,2007-07-03T00:00:00Z,alpha,17,43.18816667,86.344
2007 ctd data/184-07/758 raw/beta184-07.bin.cnv,beta,2007-07-03T00:00:00Z,beta,45,43.20616667,86.44966667
2007 ctd data/184-07/758 raw/omega184-07.bin.cnv,omega,2007-07-03T00:00:00Z,omega,110,43.19983333,86.56983333
