SITE_ID,stationDepth,Other.names,Latitude,Longitude
alpha,17,alpha,43.18816666666667,86.344
alpha,17,m15,43.18816666666667,86.344
beta,45,beta,43.20616666666667,86.44966666666667
beta,45,stad,43.20616666666667,86.44966666666667
beta,45,m45,43.20616666666667,86.44966666666667
omega,110,omega,43.19983333333333,86.56983333333334
omega,110,stab,43.19983333333333,86.56983333333334
omega,110,stationb,43.19983333333333,86.56983333333334
omega,110,m110,43.19983333333333,86.56983333333334
omega,110,muskegon21,43.19983333333333,86.56983333333334
gh100,100,gh100,43.019333333333336,86.63183333333333
gh100,100,staa,43.019333333333336,86.63183333333333
gh100,100,station21,43.019333333333336,86.63183333333333
gh100,100,100mbuoy,43.019333333333336,86.63183333333333
gh100,100,ds-7,43.019333333333336,86.63183333333333
gh45,45,gh45,43.0414,86.3332
gh15,15,gh15,43.07281666666667,86.27886666666667
midlk,150,midlk,42.71033333333333,87.09483333333333
c1,12,c1,43.220166666666664,86.35416666666667
c1,12,legc,43.220166666666664,86.35416666666667
c1,12,legc1,43.220166666666664,86.35416666666667
d1,10,d1,43.14233333333333,86.29933333333334
d1,10,legd,43.14233333333333,86.29933333333334
d1,10,legd1,43.14233333333333,86.29933333333334
e1,10,e1,43.053666666666665,86.26283333333333
e1,10,lege,43.053666666666665,86.26283333333333
e1,10,lege1,43.053666666666665,86.26283333333333
